registered_name,category,gender,race_time,time_diff,zid,zp_name,team,subteam
Chris Pocock,a,1,1:01:22.431000,0:38:11.151000,419070,Chris Pocock (Socks4Watts),Socks4Watts,
Neil Turner,a,1,1:01:22.634000,0:38:11.354000,1360468,Neil Turner (Race3R),Race3R,
Charlie Gaimster,a,1,1:03:04.094000,0:39:52.814000,2492533,Charlie Game* (P&M),Socks4Watts,WattBombs
Tom Lovejoy,a,1,1:03:06.372000,0:39:55.092000,21298,8 Lovejoy (R3R),Race3R,
Dan Stimson,a,1,1:03:27.036000,0:40:15.756000,1739200,Dan Stimo (R3R Dev),R3R Dev Red Hot Chilli Peppers,
Mike Christensen,a,1,1:04:14.911000,0:41:03.631000,855068,Mike Christensen (OTR),On the Rivet,
Simon Hale,a,1,1:04:15.498000,0:41:04.218000,308195,Simon Hale (ART Nuclear),ART Nuclear,
Erich Byers,a,1,1:04:15.696000,0:41:04.416000,1462466,Erich Byers [Team Vegan Antelopes],Team Vegan Antelopes,
Colin Saunders,a,1,1:04:15.949000,0:41:04.669000,798491,Colin Saunders (OTR),On the Rivet,
Mark Robinson,a,1,1:04:16.097000,0:41:04.817000,693429,M ROBBO (R3R Dev),R3R Dev Red Hot Chilli Peppers,
Richard Woods,a,1,1:04:16.291000,0:41:05.011000,436956,Richard Woods \u24cb [Team Vegan],Team Vegan Antelopes,
Dennis Hahn,a,1,1:04:18.028000,0:41:06.748000,269352,Dennis Hahn(Benefit the Peloton-Go Vegan),Team Vegan Alpacas,
Brian Bishop,a,1,1:04:18.740000,0:41:07.460000,3031036,B ishop (OTR),On the Rivet,
Simon de Kerpel,a,1,1:04:43.463000,0:41:32.183000,401098,Simon de Kerpel (R3R Dev),R3R Dev Red Hot Chilli Peppers,
Luís Medeiros Pereira,a,1,1:05:11.376000,0:42:00.096000,270869,Luis Medeiros [Vegan Alpacas] ,Team Vegan Alpacas,
Pete Brookes,a,1,1:05:28.798000,0:42:17.518000,1012404,Pete Brookes (ART Nuclear),ART Nuclear,
Joe Monks,a,1,1:05:29.740000,0:42:18.460000,559287,Joe Monks (Race3R),Race3R,
Robin Braam,a,1,1:05:29.885000,0:42:18.605000,1344107,Robin Braam (Team Vegan),Team Vegan Alpacas,
Les Corran,a,1,1:05:30.212000,0:42:18.932000,255535,LES CORRAN (ART Nuclear),ART Nuclear,
James Hayward,a,1,1:05:30.246000,0:42:18.966000,410468,James Hayward (Socks4Watts),Socks4Watts,
Filipe Afonso,a,1,1:05:30.452000,0:42:19.172000,2070175,Filipe Afonso (Jic Racing),JIC RACING TEAM,
Luis Pinheiro,a,1,1:05:30.572000,0:42:19.292000,510474,Luis Pinheiro (R3R Dev),R3R Dev Red Hot Chilli Peppers,
Andrew Robinson,a,1,1:06:53.716000,0:43:42.436000,100901,Andrew Robinson (TFC),TFC,
Ben Gamsa,a,1,1:06:54.493000,0:43:43.213000,4762,Ben Gamsa (R3R Dev),R3R Dev Red Hot Chilli Peppers,
Dan welch,a,1,1:06:55.354000,0:43:44.074000,758463,Dan Welch  (C4C),Green machine,
Jude Milburn,a,1,1:06:55.884000,0:43:44.604000,1451885,Jude Milburn (Race3R),Race3R,
Mark Suret,a,1,1:06:55.914000,0:43:44.634000,879426,Mark Suret (R3R Dev),R3R Dev Black Eyed Peas,
Rich Lythgoe,a,1,1:06:56.096000,0:43:44.816000,1503420,  Rich L [Team Vegan],Team Vegan Antelopes,
Cody Juntikka,a,1,1:06:56.373000,0:43:45.093000,2651512,Cody Juntikka [OTR],On the Rivet,
Kristin Moat,a,2,1:06:56.430000,0:43:45.150000,415493,M oaty (R3R Dev),R3R Dev Black Eyed Peas,
Tom Bass,a,1,1:06:56.949000,0:43:45.669000,457241,Tom Bass (LEQP) ,LEQP,
Giles Aldridge,a,1,1:07:12.364000,0:44:01.084000,1490752,Giles Aldridge (ART Nuclear),ART Nuclear,
Simone Sighinolfi,a,1,1:08:28.688000,0:45:17.408000,1085650,Simone Sighinolfi \u24cb [TEAM VEGAN],Team Vegan Antelopes,
Neil jj Fraser,a,1,1:12:18.389000,0:49:07.109000,1388995,JJ. Fraser,Green Machine,
Roland Bösche,a,1,1:12:19.696000,0:49:08.416000,479525,Rolins Neverstop \ud83c\udf31 [Team Vegan],Green Machine,
Jens Holloch,a,1,1:19:01.331000,0:55:50.051000,2793838,Jens Holloch [Team Vegan],Green Machine,
Jonny Winward,a,1,1:28:26.513000,1:05:15.233000,53428,Jonny Winward,WKG,
