registered_name,category,race_time,time_diff,zid,zp_name,team,subteam
Darrin Cook,c,1:12:28.960000,0:45:54.259000,2509064,Darrin Cook [Vegan Crocodiles],"('Team Vegan Crocodiles',)",
Dario Finatti,c,1:12:34.430000,0:45:59.729000,844179,Dario Finatti (ITA),"('Team ITALY',)",
DarrinG,c,1:12:34.744000,0:46:00.043000,68443,Darrin Grace,"('Green Machine',)",
Bruno Riollet,c,1:12:35.002000,0:46:00.301000,1534082,B runo Riollet (F),"('Green Machine',)",
Ari Tidhar,c,1:12:36.163000,0:46:01.462000,1178439,Ari Tidhar [Team Vegan] ,"('Team Vegan Crocodiles',)",
Tim Mennell,c,1:13:33.180000,0:46:58.479000,2610238,Tim Mennell (TFC),"('TFC',)",
Donnie Macaulay,c,1:14:29.062000,0:47:54.361000,867097,Donnie Macaulay (ART Neutrons),"('ART Neutrons',)",
Alessandro Gabrieli,c,1:14:30.362000,0:47:55.661000,2846874,Alessandro Gabrieli (C) [ITA],"('Team ITALY',)",
Jonathon Lees,c,1:14:30.610000,0:47:55.909000,3160142,Jonathon Lees (ART Neutrons),"('ART Neutrons',)",
Val Cummings,c,1:14:32.197000,0:47:57.496000,2990367,Val Cummings \u24cb [Team Vegan / EFT],"('Team Vegan Crocodiles',)",
Michelle Gates,c,1:14:41.516000,0:48:06.815000,1375409,Michelle Gates \u24cb [TEAM VEGAN],"('Team Vegan Spinach',)",
Jose Descoteaux,c,1:14:41.521000,0:48:06.820000,664787,Jose Descoteaux,"('Green Machine',)",
Allison Gates,c,1:14:41.984000,0:48:07.283000,1375378,Allison Gates [TEAM VEGAN],"('Team Vegan Spinach',)",
Marco Bregolato,c,1:16:22.134000,0:49:47.433000,1022750,Marco Bregolato    [ITA],"('Team ITALY',)",
Larrs Bennett,c,1:16:24.721000,0:49:50.020000,38350,L ars B Team Vegan,"('Team Vegan Coconuts',)",
Rudi peters,c,1:16:56.020000,0:50:21.319000,2682294,Rudi Peters (OTR),"('On the Rivet',)",
Marko Niederheide,c,1:18:11.672000,0:51:36.971000,601425,M arko [Team Vegan],"('Team Vegan Spinach',)",
Mary Dootson,c,1:18:14.247000,0:51:39.546000,2650031,Mary Dootson \ud83d\udc27 [Race3R] ,"('Race3R',)",
Joe Winning,c,1:18:14.434000,0:51:39.733000,435308,Joe  Winning (ART Neutrons),"('ART Neutrons',)",
Georges Hernandez,c,1:18:24.718000,0:51:50.017000,764173,H Georges[VEGAN Crocodiles],"('Team Vegan Crocodiles',)",
John Bragg,c,1:18:34.641000,0:51:59.940000,2646918,John Bragg [Team Vegan],"('Team Vegan Spinach',)",
Lee Gale,c,1:18:35.541000,0:52:00.840000,1830608,Lee  Gale (ART Isotopes),"('ART Isotopes',)",
Chris Marshall,c,1:18:35.915000,0:52:01.214000,78090,Chris   Marshall (ART Isotopes),"('ART Isotopes',)",
Ben Weeding,c,1:18:36.036000,0:52:01.335000,223663,Ben Weeding (ART Isotopes) ,"('ART Isotopes',)",
Mark Humphreys,c,1:18:55.389000,0:52:20.688000,1679447,Mark Humphreys (BRT),"('BRT',)",
Derren Craddock,c,1:18:57.134000,0:52:22.433000,541028,Zed  Sprocket,"('Green Machine',)",
Rino Calo’,c,1:19:13.115000,0:52:38.414000,1497373,Rino Cal\xf2 [ITA],"('Team ITALY',)",
Cath Walls,c,1:19:32.240000,0:52:57.539000,2956232,Cath Walls [TEAM VEGAN] ,"('Team Vegan Crocodiles',)",
John Bamford,c,1:21:10.586000,0:54:35.885000,456955,John  John Bamford (ART Neutrons),"('ART Neutrons',)",
Steve Lytollis,c,1:21:44.219000,0:55:09.518000,1358214,Steve Lytollis (ART Isotopes),"('ART Isotopes',)",
Faye Armstrong ,c,1:23:46.510000,0:57:11.809000,187279,Faye Armstrong,"('Team RAVE',)",
Nadezda Polakova,c,1:25:41.721000,0:59:07.020000,189794,Nada 78\ud83c\udf31 [VEGAN],"('Team Vegan Coconuts',)",
Jo Fleming,c,1:25:44.378000,0:59:09.677000,490655,Jo Fleming [Team Vegan],"('Team Vegan Spinach',)",
Felicity Caddick,c,1:41:33.992000,1:14:59.291000,1955420,Felicity C (Socks4Watts),"('Socks4Watts',)",
